Feature,Importance
strain,28.31521
power,21.669386
Rotational speed [rpm],20.665342
temp_diff,9.332628
Torque [Nm],7.5134673
Air temperature [K],4.5307026
Tool wear [min],4.457445
Process temperature [K],3.5158172
