Feature,Importance
Torque [Nm],41.323762800327344
power,-22.247074923324803
Rotational speed [rpm],12.946900203685777
Tool wear [min],12.28018717714739
strain,-6.7590087159543195
temp_diff,-2.9367932093803826
Air temperature [K],1.335466962639973
Process temperature [K],-0.17080600754000663
